Model,Atelectasis,Cardiomegaly,Effusion,Infiltration,Mass,Nodule,Pneumonia,Pneumothorax,Consolidation,Edema,Emphysema,Fibrosis,Pleural_Thickening,Hernia,Mean
Global,0.7311185287429547,0.6981438048395422,0.8032986778716832,0.6517766037625289,0.6636749103266,0.6151508164758843,0.6488068674301667,0.7658143160826315,0.7720762503831708,0.8343878754877937,0.7049927782008202,0.6820963397605622,0.7098450738571986,0.6964245970962125,0.7126862457369822
Local,0.6754554543926242,0.6400412150469077,0.7401690233440961,0.6210742810413269,0.6167864074004153,0.5635833113639699,0.6193715842917776,0.6856622521461532,0.7395968585387088,0.7979875669298485,0.6213650859629881,0.5623493703394051,0.6331744270999067,0.5791013707238521,0.6496941577587128
Fusion,0.7310065564197171,0.6863246500895649,0.7979482419807006,0.6488092602939161,0.6073066263922975,0.617696391497441,0.6548186495464713,0.7579516921094148,0.7579261337912275,0.8390289499954624,0.6992727552168111,0.5247100770766047,0.7162046688495208,0.6577096125228563,0.6926224475558576
Global,0.7596213026128351,0.754031560251389,0.8302500669749855,0.6603331671300002,0.6998797054936758,0.6552795379758264,0.6514360047692748,0.7998106607707636,0.7834322308811227,0.8674548507124058,0.7528345780094031,0.7205376286653898,0.724215406668114,0.7731977883385919,0.7451653206609842
Local,0.7219629885240535,0.6362307207699548,0.7831755795636319,0.6310678084824881,0.6545679441193129,0.6038774567875181,0.6362902339738937,0.709475757171744,0.759737732508924,0.8340529993647335,0.6498501498501499,0.6840535034374357,0.6928962321478314,0.5931184513133376,0.6850255398582149
Fusion,0.7617823551792177,0.7719329705194766,0.8312789009927267,0.6573149016745174,0.6386758542571267,0.654072812366665,0.6867403037631966,0.8059658059833047,0.7833901755400321,0.8684345221889465,0.7450434181203412,0.5574016867251872,0.738687967834127,0.7507276924621098,0.7322463834004982
Global,0.7704831930914271,0.8324748762789569,0.844714948536078,0.6733539272511962,0.7177941476307343,0.6702629771261243,0.6937131300197091,0.8270635661326281,0.7880936241195378,0.8729235865323531,0.7869049656637069,0.7333886346071884,0.7552923309651051,0.8106232189536066,0.7697919376363108
Local,0.7332326865394314,0.6814902313507606,0.8054162257545093,0.6439588265980052,0.6708822352274872,0.610647994194551,0.6661168526584367,0.7669301676184551,0.7627299959876088,0.8550834921499229,0.7061125063747441,0.7063556860210225,0.7050974651333157,0.6831232080436747,0.7140841124037091
Fusion,0.7686434139392492,0.8384472629565534,0.844247605040012,0.6733850836440085,0.6686040400226543,0.668806539066963,0.7041720302922196,0.8327796665407491,0.79134818831821,0.8734694618386423,0.7816228788693823,0.588590133627789,0.7595294174792893,0.800660269082562,0.7567361421941632
Global,0.7729050867553243,0.8426704769711875,0.8497126936855764,0.674461850733896,0.7286023787049274,0.6647395407628851,0.7016069851699427,0.8397060566332615,0.7907141391510513,0.8798071512841457,0.8204470354820005,0.7436235487503255,0.7504884656676292,0.8019869168095869,0.7758194518972672
Local,0.73943248480344,0.7217210128426996,0.8193748575124726,0.6494453408078515,0.6868254483670001,0.6216591827273736,0.6705192079965382,0.7864638653719381,0.7677679143292205,0.8501170705145658,0.735384152560726,0.6987177880071812,0.7162655102099486,0.6713022967588775,0.7239282952007023
Fusion,0.7736354064360861,0.8453424340407445,0.8501859238072604,0.6746059456845784,0.6704321691523504,0.6655496642455762,0.7227438522338681,0.8424873526950055,0.7898788473887474,0.8786005989654233,0.8249835828507157,0.5952213813182705,0.753591498962599,0.8460543140052978,0.766665212270466
Global,0.7818987072970033,0.85656556456265,0.8534745593295454,0.6654734064434114,0.7536515008495375,0.6895522833423416,0.6899408452576506,0.8466783695901756,0.7925027891517572,0.8767415373445866,0.8420133188489832,0.737266445679579,0.7638061562039353,0.8212822224840606,0.7836319790275156
Local,0.7491488156858581,0.7636400552570057,0.8263992781983401,0.6538835245317951,0.6948305078346233,0.6323832826935658,0.6717739233524909,0.8007086564599397,0.7740010350805927,0.849425537707596,0.7624680826166839,0.7128362359235186,0.7225239920655927,0.7436493286027868,0.7398337325721707
Fusion,0.7819218892398623,0.8570266721316452,0.8526404517684982,0.6669942800417371,0.6948517273928639,0.6881875167461922,0.7092410803302682,0.8490219170573814,0.7923998833665208,0.8792612759778564,0.8488893099907087,0.7183703601159366,0.7648978311232183,0.852200969674753,0.7825646546398174
